1,Anchote,Coccinia abyssinica,Cucurbitaceae?,6/1/2022
2,Apple,Malus spp,Rosaceae,6/1/2022
3,Avocado,Persea americana,Lauraceae,6/1/2022
4,Banana,Musa spp.,Musaceae,6/1/2022
5,Barley,Hordeum vulgare,Poaceae?,6/1/2022
6,Black cumin,Nigella sativa,Ranunculaceae?,6/1/2022
7,Cabbage,Brasica oleracea var. capitata,Brassicaceae,6/1/2022
8,Carrot,Daucus carota,Apiaceae,6/1/2022
9,Cassava,Manihot esculenta,Euphorbiaceae,6/1/2022
10,Chickpea,Cicer arietinum,Fabaceae?,6/1/2022
11,Chili,Capsicum spp,Solanaceae,6/1/2022
12,Citrus,Citrus?aurantium,Rutaceae?,6/1/2022
13,Coffee,Coffea arabica,Rubiaceae,6/1/2022
14,Common bean,Phaseolus vulgaris,Fabaceae,6/1/2022
15,Cotton,Gossypium spp,Malvaceae,6/1/2022
16,Cowpea,Vigna?unguiculata,Fabaceae,6/1/2022
17,Enset,Ensete?ventricosum,Musaceae,6/1/2022
18,Faba bean,Vicia faba,Fabaceae,6/1/2022
19,Fenugreek,Trigonella foenum-graecum,Fabaceae,6/1/2022
20,Field pea,Pisum sativum,Fabaceae,6/1/2022
21,Finger millet,Eleusine coracana,Poaceae,6/1/2022
22,Garlic,Allium sativum,Amaryllidaceae,6/1/2022
23,Grass pea,Lathyrus sativus,Fabaceae,6/1/2022
24,Ground nut,Arachis hypogaea,Fabaceae,6/1/2022
25,Hibiscus,Hibiscus rosa-sinensis?L.,Malvaceae,6/1/2022
26,Korarima,Aframomum corrorima,Zingiberaceae,6/1/2022
27,Kosso,Hagenia abyssinica,Rosaceae,6/1/2022
28,Lentil,Lens culinaris,Fabaceae,6/1/2022
29,Linseed,Linum usitatissimum,Linaceae,6/1/2022
30,Lupin,Lupinus polyphyllus,Fabaceae,6/1/2022
31,Maize,Zea mays,Poaceae,6/1/2022
32,Mango,Mangifera indica,Anacardiaceae,6/1/2022
33,Mung bean,Vigna radiata,Fabaceae,6/1/2022
34,Mustard,Brassica juncea?L.,Brassicaceae,6/1/2022
35,Niger seed,Guizotia abyssinica,Asteraceae,6/1/2022
36,Noug,Guizotia abyssinica,Asteraceae,6/1/2022
37,Okra,Abelmoschus esculentus,Malvaceae,6/1/2022
38,Onion,Allium sativum,Alliaceae,6/1/2022
39,Papaye,Carica?papaya,Caricaceae,6/1/2022
40,Peach,Prunus persica,Rosaceae,6/1/2022
41,Pepper,Capsicum spp,Solanaceae,6/1/2022
42,Pineapple,Ananas comosus,Bromeliaceae,6/1/2022
43,Plant protection,,,
44,Potato,Solanum tuberosum,Solanaceae,
45,Rice,Oryza sativa,Poaceae,
46,Rosemary,Salvia rosmarinus,Lamiaceae,
47,Safflower,Carthamus tinctorius,Asteraceae,
48,Sesame,Sesamum indicum,Pedaliaceae,
49,Sorghum,Sorghum bicolor,Poaceae,
50,Soybean,Glycine max,Fabaceae,
51,strawberry,Fragaria ananassa,Rosaceae,
52,Sugarcane,Saccharum officinarum,Poaceae,
53,Sunflower,Helianthus annus,Asteraceae,
54,Taro (Cocoyam),Colocasia esculenta?,Araceae,
55,Tef,Eragrostis tef,Poaceae,
56,Tomato,Solanum lycopersicum,Solanaceae,
57,Wheat,Triticum aestivum,Poaceae,
58,Yam ,Dioscorea alata,Dioscoreaceae,
