1,Addis Ababa,1,6/24/2022
2,Administrative Zone 1 (a.k.a. Awsi Rasu),2,6/24/2022
3,Administrative Zone 2 (a.k.a. Kilbet Rasu),2,6/24/2022
4,Administrative Zone 3 (a.k.a. Gabi Rasu),2,6/24/2022
5,Administrative Zone 4 (a.k.a. Fantena Rasu),2,6/24/2022
6,Administrative Zone 5 (a.k.a. Hari Rasu),2,6/24/2022
7,Argobba (special woreda),2,6/24/2022
8,Agew Awi,3,6/24/2022
9,East Gojjam,3,6/24/2022
10,North Gondar,3,6/24/2022
11,North Shewa,3,6/24/2022
12,North Wollo,3,6/24/2022
13,Oromia,3,6/24/2022
14,South Gondar,3,6/24/2022
15,South Wollo,3,6/24/2022
16,Wag Hemra,3,6/24/2022
17,West Gojjam,3,6/24/2022
18,Bahir Dar (special zone),3,6/24/2022
19,Asosa,4,6/24/2022
20,Kamashi,4,6/24/2022
21,Metekel,4,6/24/2022
22,Dire Dawa,5,6/24/2022
23,Anuak,6,6/24/2022
24,Mezhenger,6,6/24/2022
25,Nuer,6,6/24/2022
26,Harari,7,6/24/2022
27,Arsi,8,6/24/2022
28,Bale,8,6/24/2022
29,Borena,8,6/24/2022
30,East Hararghe,8,6/24/2022
31,East Shewa,8,6/24/2022
32,East Welega,8,6/24/2022
33,Guji,8,6/24/2022
34,Horo Gudru Welega,8,6/24/2022
35,Illubabor,8,6/24/2022
36,Jimma,8,6/24/2022
37,Kelem Welega,8,6/24/2022
38,North Shewa,8,6/24/2022
39,South West Shewa,8,6/24/2022
40,West Arsi,8,6/24/2022
41,West Hararghe,8,6/24/2022
42,West Shewa,8,6/24/2022
43,West Welega,8,6/24/2022
44,Adama (special zone),8,6/24/2022
45,Jimma (special zone),8,6/24/2022
46,Oromia-Finfinne (special zone),8,6/24/2022
47,Afder,10,6/24/2022
48,Degehabur,10,6/24/2022
49,Fiq,10,6/24/2022
50,Gode,10,6/24/2022
51,Jijiga,10,6/24/2022
52,Korahe,10,6/24/2022
53,Liben,10,6/24/2022
54,Shinile,10,6/24/2022
55,Werder,10,6/24/2022
56,Bench Maji,12,6/24/2022
57,Dawro (formerly part of North Omo Zone),12,6/24/2022
58,Gamo Gofa (formerly part of North Omo Zone),12,6/24/2022
59,Gedeo,12,6/24/2022
60,Gurage,12,6/24/2022
61,Hadiya,12,6/24/2022
62,Keffa (formerly part of Keficho Shekicho Zone),12,6/24/2022
63,Keficho Shekicho (abolished in 2007),12,6/24/2022
64,Kembata Tembaro,12,6/24/2022
65,North Omo (abolished in 2000),12,6/24/2022
66,Sheka (formerly part of Keficho Shekicho Zone),12,6/24/2022
67,Sidama,12,6/24/2022
68,Silti,12,6/24/2022
69,South Omo,12,6/24/2022
70,Wolayita (formerly part of North Omo Zone),12,6/24/2022
71,Alaba (special woreda),12,6/24/2022
72,Amaro (special woreda),12,6/24/2022
73,"Basketo (special woreda, formerly part of North Omo Zone)",12,6/24/2022
74,Burji (special woreda),12,6/24/2022
75,Dirashe (special woreda),12,6/24/2022
76,Konso (special woreda),12,6/24/2022
77,"Konta (special woreda, formerly part of North Omo Zone)",12,6/24/2022
78,Yem (special woreda),12,6/24/2022
79,Central Tigray,13,6/24/2022
80,East Tigray,13,6/24/2022
81,North West Tigray,13,6/24/2022
82,South Tigray,13,6/24/2022
83,South East Tigray,13,6/24/2022
84,West Tigray,13,6/24/2022
85,Mekele (special zone),13,6/24/2022
